candidate,type,country,connected_suspect_count,connected_suspects,min_distance_to_suspect,degree,edge_count,vessel_links,company_links,organization_links,ownership_edges,membership_edges,high_weight_edges,keyword_neighbors,path_examples,fishhook_anomaly_score,component_id,component_size,component_vessel_ratio,vessel_ratio_delta,family_edges_1_2_hop,political_nodes_1_2_hop,short_cycle_count,connected_suspect_count_fishhook,min_suspect_distance,vessel_links_fishhook,ownership_edges_fishhook,membership_edges_fishhook,high_weight_edges_fishhook,cycle_examples,suspect_path_examples
png xi  Line,company,Country_628643,4,Mar de la Vida OJSC; 979893388; Oceanfront Oasis Inc Carriers; 8327,1,249,399,10,8,86,93,148,60,12,"979893388 -> png xi  Line [family_relationship, membership]; Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> png xi  Line [family_relationship -> partnership]; Oceanfront Oasis Inc Carriers -> 979893388 -> png xi  Line [ownership -> family_relationship, membership]",514.509,0,3151,0.0336,0.0001,1554,74,12,4,1,10,93,148,60,png xi  Line -> Kariba Dam  Corporation Nautical -> 6 -> png xi  Line; png xi  Line -> SeaSpray Wave SRL Solutions -> Ocean Fisheries Llc -> png xi  Line; png xi  Line -> SeaSpray Wave SRL Solutions -> Ocean Fisheries Llc -> png xi  Line,png xi  Line -> b8567859-bf54-49fd-8332-5775e19c65af -> Mar de la Vida OJSC; png xi  Line -> 979893388; png xi  Line -> 979893388 -> Oceanfront Oasis Inc Carriers
Mar del Oeste Pic,company,Vesperlandia,4,Mar de la Vida OJSC; 979893388; Oceanfront Oasis Inc Carriers; 8327,1,225,356,9,7,81,79,150,67,7,"979893388 -> Mar del Oeste Pic [family_relationship, membership, ownership]; Mar de la Vida OJSC -> Ancla Azul Company Solutions -> Mar del Oeste Pic [membership -> family_relationship]; Oceanfront Oasis Inc Carriers -> 8787 -> Mar del Oeste Pic [family_relationship -> membership]",444.009,0,3151,0.0336,0.0001,1426,75,2,4,1,9,79,150,67,Mar del Oeste Pic -> 55394387 -> 762165 -> 903311212 -> Mar del Oeste Pic; Mar del Oeste Pic -> 55394387 -> 762165 -> 903311212 -> Mar del Oeste Pic,Mar del Oeste Pic -> b8567859-bf54-49fd-8332-5775e19c65af -> Mar de la Vida OJSC; Mar del Oeste Pic -> 979893388; Mar del Oeste Pic -> 8787 -> Oceanfront Oasis Inc Carriers
Faroe Islands Shrimp Shark,company,Rio Isla,3,Mar de la Vida OJSC; 979893388; Oceanfront Oasis Inc Carriers,1,164,208,3,5,77,28,60,48,8,"979893388 -> Faroe Islands Shrimp Shark [family_relationship, partnership]; Mar de la Vida OJSC -> Ancla Azul Company Solutions -> Faroe Islands Shrimp Shark [membership -> family_relationship]; Oceanfront Oasis Inc Carriers -> 979893388 -> Faroe Islands Shrimp Shark [ownership -> family_relationship, partnership]",330.009,0,3151,0.0336,0.0001,1340,63,3,4,1,3,28,60,48,Faroe Islands Shrimp Shark -> 34 -> Sonia Fisheries Pvt -> b8567859-bf54-49fd-8332-5775e19c65af -> Faroe Islands Shrimp Shark; Faroe Islands Shrimp Shark -> 34 -> Dana Goodwin -> 19 -> Faroe Islands Shrimp Shark; Faroe Islands Shrimp Shark -> 34 -> Dana Goodwin -> Faroe Islands Shrimp Shark,Faroe Islands Shrimp Shark -> b8567859-bf54-49fd-8332-5775e19c65af -> Mar de la Vida OJSC; Faroe Islands Shrimp Shark -> 979893388; Faroe Islands Shrimp Shark -> 979893388 -> Oceanfront Oasis Inc Carriers
Playa del Cielo Kga,company,Rio Isla,4,Mar de la Vida OJSC; 979893388; Oceanfront Oasis Inc Carriers; 8327,2,138,174,4,8,26,53,64,49,6,"Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Playa del Cielo Kga [family_relationship -> family_relationship, membership]; Oceanfront Oasis Inc Carriers -> 2262 -> Playa del Cielo Kga [family_relationship -> family_relationship, membership]; 8327 -> 160 -> Playa del Cielo Kga [membership -> ownership]",308.809,0,3151,0.0336,0.0001,1220,46,1,4,2,4,53,64,49,Playa del Cielo Kga -> periods years -> Playa del Cielo Kga,Playa del Cielo Kga -> b8567859-bf54-49fd-8332-5775e19c65af -> Mar de la Vida OJSC; Playa del Cielo Kga -> Faroe Islands Shrimp Shark -> 979893388; Playa del Cielo Kga -> 2262 -> Oceanfront Oasis Inc Carriers
Spanish Shrimp  Carriers,company,Nalakond,4,Mar de la Vida OJSC; 979893388; Oceanfront Oasis Inc Carriers; 8327,2,84,96,1,5,43,14,41,26,6,"Mar de la Vida OJSC -> Ancla Azul Company Solutions -> Spanish Shrimp  Carriers [membership -> membership]; Oceanfront Oasis Inc Carriers -> 2262 -> Spanish Shrimp  Carriers [family_relationship -> family_relationship, partnership]; 8327 -> 160 -> Spanish Shrimp  Carriers [membership -> ownership, partnership]",243.709,0,3151,0.0336,0.0001,1066,48,1,4,2,1,14,41,26,Spanish Shrimp  Carriers -> l y S.A. de C.V. International -> 59 -> 143129355 -> Spanish Shrimp  Carriers,Spanish Shrimp  Carriers -> Ancla Azul Company Solutions -> Mar de la Vida OJSC; Spanish Shrimp  Carriers -> Faroe Islands Shrimp Shark -> 979893388; Spanish Shrimp  Carriers -> 2262 -> Oceanfront Oasis Inc Carriers
Benton Ltd. Liability Co,company,Country_271835,2,979893388; Oceanfront Oasis Inc Carriers,1,39,48,0,1,5,1,26,28,3,979893388 -> Benton Ltd. Liability Co [partnership]; Oceanfront Oasis Inc Carriers -> 979893388 -> Benton Ltd. Liability Co [ownership -> partnership],174.809,0,3151,0.0336,0.0001,327,12,12,4,1,0,1,26,28,Benton Ltd. Liability Co -> 5421 -> Benton Ltd. Liability Co; Benton Ltd. Liability Co -> 5421 -> days -> Benton Ltd. Liability Co; Benton Ltd. Liability Co -> 5421 -> days -> sh rn y Corporation -> Benton Ltd. Liability Co,Benton Ltd. Liability Co -> 979893388 -> 9345 -> Mar de la Vida OJSC; Benton Ltd. Liability Co -> 979893388; Benton Ltd. Liability Co -> 979893388 -> Oceanfront Oasis Inc Carriers
Sudd Swamp  Wave AS Freight ,company,Country_271835,2,979893388; Oceanfront Oasis Inc Carriers,1,5,6,0,1,3,0,5,0,0,979893388 -> Sudd Swamp  Wave AS Freight  [membership]; Oceanfront Oasis Inc Carriers -> 979893388 -> Sudd Swamp  Wave AS Freight  [ownership -> membership],122.909,0,3151,0.0336,0.0001,464,16,2,4,1,0,0,5,0,Sudd Swamp  Wave AS Freight  -> 7023 -> Sudd Swamp  Wave AS Freight ; Sudd Swamp  Wave AS Freight  -> XUAR -> 7023 -> Sudd Swamp  Wave AS Freight ,Sudd Swamp  Wave AS Freight  -> 979893388 -> 9345 -> Mar de la Vida OJSC; Sudd Swamp  Wave AS Freight  -> 979893388; Sudd Swamp  Wave AS Freight  -> 979893388 -> Oceanfront Oasis Inc Carriers
su y CJSC Canal,company,Country_271835,2,979893388; Oceanfront Oasis Inc Carriers,1,15,15,0,1,2,2,11,2,0,979893388 -> su y CJSC Canal [membership]; Oceanfront Oasis Inc Carriers -> 979893388 -> su y CJSC Canal [ownership -> membership],119.609,0,3151,0.0336,0.0001,481,16,0,4,1,0,2,11,2,,su y CJSC Canal -> Playa del Cielo Kga -> b8567859-bf54-49fd-8332-5775e19c65af -> Mar de la Vida OJSC; su y CJSC Canal -> 979893388; su y CJSC Canal -> 979893388 -> Oceanfront Oasis Inc Carriers
Tshikwea Corp Marine sanctuary,company,Marebak,3,Mar de la Vida OJSC; 979893388; 8327,2,12,13,1,1,7,0,8,4,0,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Tshikwea Corp Marine sanctuary [family_relationship -> membership]; 8327 -> water -> Tshikwea Corp Marine sanctuary [membership -> partnership]; 979893388 -> 665 -> Tshikwea Corp Marine sanctuary [partnership -> membership],92.909,0,3151,0.0336,0.0001,237,8,2,4,2,1,0,8,4,Tshikwea Corp Marine sanctuary -> water -> Tshikwea Corp Marine sanctuary; Tshikwea Corp Marine sanctuary -> water -> 519994690 -> Tshikwea Corp Marine sanctuary,Tshikwea Corp Marine sanctuary -> b8567859-bf54-49fd-8332-5775e19c65af -> Mar de la Vida OJSC; Tshikwea Corp Marine sanctuary -> b8567859-bf54-49fd-8332-5775e19c65af -> 979893388; Tshikwea Corp Marine sanctuary -> b8567859-bf54-49fd-8332-5775e19c65af -> 979893388 -> Oceanfront Oasis Inc Carriers
Romero Oyster NV Carriers,company,Islavaria,2,979893388; Oceanfront Oasis Inc Carriers,1,3,3,0,0,1,0,1,1,1,979893388 -> Romero Oyster NV Carriers [family_relationship]; Oceanfront Oasis Inc Carriers -> 979893388 -> Romero Oyster NV Carriers [ownership -> family_relationship],82.309,0,3151,0.0336,0.0001,235,10,0,4,1,0,0,1,1,,Romero Oyster NV Carriers -> 979893388 -> 9345 -> Mar de la Vida OJSC; Romero Oyster NV Carriers -> 979893388; Romero Oyster NV Carriers -> 979893388 -> Oceanfront Oasis Inc Carriers
