target_keyword_node,target_type,path_length,path,relation_steps
FishEye International,organization,1,Mar de la Vida OJSC -> FishEye International,membership
Faroe Islands Shrimp Shark,company,2,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Faroe Islands Shrimp Shark,"family_relationship -> family_relationship, partnership"
Fisheries Animal Industriesâ,unknown,2,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Fisheries Animal Industriesâ,family_relationship -> family_relationship
Nagaland Sea Ltd. Liability Co &,unknown,2,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Nagaland Sea Ltd. Liability Co &,family_relationship -> membership
Ocean Fisheries Llc,unknown,2,Mar de la Vida OJSC -> âHe -> Ocean Fisheries Llc,membership -> membership
Oceanfront Oasis Inc Carriers,unknown,2,Mar de la Vida OJSC -> FishEye International -> Oceanfront Oasis Inc Carriers,membership -> membership
Sea Seekers Merchants Cruise ship,unknown,2,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Sea Seekers Merchants Cruise ship,family_relationship -> family_relationship
SeaSpray Wave SRL Solutions,unknown,2,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> SeaSpray Wave SRL Solutions,"family_relationship -> family_relationship, membership, partnership"
Seabreeze Foods Ltd. Corporation United,unknown,2,Mar de la Vida OJSC -> FishEye International -> Seabreeze Foods Ltd. Corporation United,membership -> membership
Sonia Fisheries Pvt,unknown,2,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Sonia Fisheries Pvt,"family_relationship -> family_relationship, membership, partnership"
Spanish Shrimp  Carriers,company,2,Mar de la Vida OJSC -> Ancla Azul Company Solutions -> Spanish Shrimp  Carriers,membership -> membership
Asia Seafood,unknown,3,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Playa del Cielo Kga -> Asia Seafood,"family_relationship -> family_relationship, membership -> partnership"
Catchâ,unknown,3,Mar de la Vida OJSC -> FishEye International -> 58623386 -> Catchâ,membership -> membership -> membership
Costa de Coral Charter Boat Oyj Overseas,unknown,3,Mar de la Vida OJSC -> Jon White -> b1a0ee2a-0e6d-48c2-b639-032e4648fa5c -> Costa de Coral Charter Boat Oyj Overseas,ownership -> membership -> membership
Dark Web Vendor Illegal Narcotics,unknown,3,Mar de la Vida OJSC -> 9345 -> d4947401-8ec7-48b9-a66f-45d983d59e0a -> Dark Web Vendor Illegal Narcotics,membership -> membership -> ownership
Dry Creek S.p.A. Overseas,unknown,3,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Playa del Cielo Kga -> Dry Creek S.p.A. Overseas,"family_relationship -> family_relationship, membership -> ownership"
FinestSea Ltd. Corporation Enterprises,unknown,3,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> png xi  Line -> FinestSea Ltd. Corporation Enterprises,family_relationship -> partnership -> partnership
Fish Sea,unknown,3,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> 3506021 -> Fish Sea,family_relationship -> membership -> membership
Fisheries Inc,unknown,3,Mar de la Vida OJSC -> âHe -> 903311212 -> Fisheries Inc,membership -> membership -> membership
Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,unknown,3,Mar de la Vida OJSC -> b8567859-bf54-49fd-8332-5775e19c65af -> Faroe Islands Shrimp Shark -> Fisherman'sFriend Charter Boat S.A. de C.V. Freight ,"family_relationship -> family_relationship, partnership -> membership"
